Unnamed: 0,age,gender,height,weight,Fitbit.Steps_LE,Fitbit.Heart_LE,Fitbit.Calories_LE,Fitbit.Distance_LE,EntropyFitbitHeartPerDay_LE,EntropyFitbitStepsPerDay_LE,RestingFitbitHeartrate_LE,CorrelationFitbitHeartrateSteps_LE,NormalizedFitbitHeartrate_LE,FitbitIntensity_LE,SDNormalizedFitbitHR_LE,FitbitStepsXDistance_LE,activity_trimmed
2713,22,0,168,62,29,16.8,69,312,4.43715733473776,3.39010261822172,10.1111111111111,0.571365056258998,6.6888888888889,0.0356002365464223,60.8809542124302,9048,Self Pace walk
2714,22,0,168,62,29,13.2857142857143,68,312,4.43715733473776,3.39010261822172,10.1111111111111,0.933135390618763,3.1746031746032,0.0168961730168118,51.8309425061687,9048,Self Pace walk
2715,22,0,168,62,19,17.2,68,300,4.43715733473776,3.39010261822172,10.1111111111111,0.988839233800115,7.0888888888889,0.0377291543465406,35.8501305506999,5700,Self Pace walk
2716,22,0,168,62,28,20.5,68,311,4.43715733473776,3.39010261822172,10.1111111111111,0.388252132824883,10.3888888888889,0.0552927261975163,5.30530765607489,8708,Self Pace walk
2717,22,0,168,62,30,17.4,66.5,313,4.43715733473776,3.39010261822172,10.1111111111111,0.0107382117837463,7.2888888888889,0.0387936132465997,5.62213716515836,9390,Self Pace walk
2718,22,0,168,62,30,8.8,66.5,71,4.43715733473776,3.39010261822172,10.1111111111111,0.300150399652881,-1.3111111111111,-0.00697811945594317,5.86790923954499,2130,Self Pace walk
2719,22,0,168,62,29,18.4,56.5,68,4.43715733473776,3.39010261822172,10.1111111111111,-0.65924525911467,8.2888888888889,0.0441159077468954,44.4838968288134,1972,Lying
2720,22,0,168,62,29,21.3333333333333,1,312,4.43715733473776,3.39010261822172,10.1111111111111,-0.813720865550135,11.2222222222222,0.0597279716144292,59.0224007329065,9048,Lying
2721,22,0,168,62,30,26.5714285714286,1,313,4.43715733473776,3.39010261822172,10.1111111111111,-0.856694167324333,16.4603174603175,0.0876066570921688,65.6872903309851,9390,Lying
2722,22,0,168,62,28,27.5,1,66,4.43715733473776,3.39010261822172,10.1111111111111,-0.877857831098863,17.3888888888889,0.0925487876995861,69.3537780343999,1848,Lying
2723,22,0,168,62,58,24.75,1,140,4.43715733473776,3.39010261822172,10.1111111111111,-0.863441954657258,14.6388888888889,0.077912477823773,65.4117790745245,8120,Lying
2724,22,0,168,62,1,159.888888888889,35,1,4.43715733473776,3.39010261822172,10.1111111111111,-0.817343211128494,149.777777777778,0.797161442933176,63.602332219909,1,Running 3 METs
2725,22,0,168,62,1,160.25,45,1,4.43715733473776,3.39010261822172,10.1111111111111,-0.798803210240242,150.138888888889,0.799083382613838,60.5340173237984,1,Running 3 METs
2726,22,0,168,62,1,148,65,1,4.43715733473776,3.39010261822172,10.1111111111111,-0.815118633235066,137.888888888889,0.733885274985216,57.307425624906,1,Running 3 METs
2727,22,0,168,62,1,151.777777777778,68,1,4.43715733473776,3.39010261822172,10.1111111111111,-0.896802305152447,141.666666666667,0.753991720875223,54.0685913717327,1,Running 3 METs
2728,22,0,168,62,4,89.3636363636364,66.5,282,4.43715733473776,3.39010261822172,10.1111111111111,-0.894804819845691,79.2525252525253,0.42180527928606,49.9607509201038,1128,Running 3 METs
2729,22,0,168,62,65,37.1818181818182,68,18,4.43715733473776,3.39010261822172,10.1111111111111,-0.853489160363903,27.0707070707071,0.14407827536154,46.4496931665773,1170,Running 3 METs
2730,22,0,168,62,67,57.9,68,154,4.43715733473776,3.39010261822172,10.1111111111111,-0.805279609290477,47.7888888888889,0.254346540508575,39.8728926000203,10318,Running 3 METs
2731,22,0,168,62,68,65.1,68,155,4.43715733473776,3.39010261822172,10.1111111111111,-0.725579922788556,54.9888888888889,0.292667060910704,31.6737258491971,10540,Running 3 METs
2732,22,0,168,62,66,59.9090909090909,68,153,4.43715733473776,3.39010261822172,10.1111111111111,-0.627007077241049,49.7979797979798,0.265039514004623,12.6830597308329,10098,Running 3 METs
2733,22,0,168,62,41,59.7777777777778,68,92,4.43715733473776,3.39010261822172,10.1111111111111,-0.0199574132246758,49.6666666666667,0.264340626848019,8.02988051358349,3772,Running 3 METs
